Name,Status,Budget,Clicks,Cost,Total Revenue,Revenue,Profit,Net Profit,Reported,Reported VS Revenue,Sales,ROI,ROAS,Calls,Cost per Call,Leads,New Leads,Info,Ad Source ID
META | FES-B | ABO | ADV | Soul Sucking,ACTIVE,-,73,234.89,22427.11,22427.11,22192.22,22427.11,0,22427.11,3,9447.92,95.48,1,234.89,8,6,-,120215632377300123
META | FES | ABO | LAL1% | Jade | Soul Sucking,ACTIVE,-,124,325.81,15954.95,15954.95,15629.14,15954.95,0,15954.95,2,4797.01,48.97,0,0,24,17,-,120217648602110596
META | FES | ABO | LAL1% | Jade | Honestly,ACTIVE,-,98,276.23,8314.70,8314.70,8038.47,8314.70,0,8314.70,2,2910.06,30.10,3,92.08,27,22,-,120217647387440596
META | FES-B | ABO | ADV | Jade Norm Job,ACTIVE,-,21,96.87,8271.74,8271.74,8174.87,8271.74,0,8271.74,1,8439.01,85.39,1,96.87,3,2,-,120217691278030123
META | FES | ABO | LAL1% | Jade | Being a nerd Comfy,PAUSED,-,66,260.10,159.12,159.12,-100.98,159.12,0,159.12,1,-38.82,0.61,0,0,9,8,-,120219945671240596
META | FES-B | ABO | ADV | Jade | LF Norm Job – VAR1,ACTIVE,-,85,264.37,117.71,117.71,-146.66,117.71,0,117.71,1,-55.48,0.45,0,0,16,12,-,120218584418510123
FES | YT | COLD | JC | SHORTS | 17/02,ACTIVE,-,78,127.83,117.71,117.71,-10.12,117.71,0,117.71,1,-7.92,0.92,0,0,22,16,-,22252209321
YT | COLD | CI | Beginner Coding | US | 09/10,ACTIVE,-,227,299,117.71,117.71,-181.29,117.71,0,117.71,1,-60.63,0.39,1,299,35,25,-,21795169658
FES | META | ABO | ADV+ | Indirect | POVIntrovert,ACTIVE,-,285,565.54,85.92,85.92,-479.62,85.92,8279.62,-8193.70,2,-84.81,0.15,2,282.77,29,27,-,120219194415320596
META | FES | ABO | LAL 2%PURCHASE | Wish I Knew,ACTIVE,-,132,493.95,42.96,42.96,-450.99,42.96,12483.11,-12440.15,1,-91.30,0.09,0,0,22,17,-,120217960119680596
FES | TT | ABO | BROAD | Indirect | Wish I Knew,ACTIVE,-,10,17.12,42.96,42.96,25.84,42.96,0,42.96,1,150.93,2.51,0,0,2,2,-,1827076687927313
META | FES-B | ABO | LAL1% | Introverts,ACTIVE,-,122,276.14,42.95,42.95,-233.19,42.95,0,42.95,1,-84.45,0.16,3,92.05,24,16,-,120216191853860123
Organic Source,OTHER,-,295,27.72,0,0,-27.72,0,0,0,0,-100,0,2,13.86,148,36,-,-
META | FES-B | ABO | ADV | Norm Job,ACTIVE,-,36,148.72,0,0,-148.72,0,0,0,0,-100,0,0,0,9,6,-,120216085963910123
FES - B | META | ABO | ADV+ | Direct - Image | Earn,ACTIVE,-,0,5.59,0,0,-5.59,0,0,0,0,-100,0,0,0,0,0,-,120218037771900123
META | FES | ABO - Scale | ADV+ | NORM-JOB,ACTIVE,-,46,194.80,0,0,-194.80,0,12737.87,-12737.87,0,-100,0,0,0,9,7,-,120216979968340596
META | FES | ABO | ADV | Jade | Soul Sucking,ACTIVE,-,62,170.82,0,0,-170.82,0,0,0,0,-100,0,0,0,13,9,-,120217648387980596
FES | YT | COLD | JC | FEB ADS | 17/02,PAUSED,-,10,18.73,0,0,-18.73,0,0,0,0,-100,0,0,0,0,0,-,22252048476
FES | META | ABO | LAL1% | Indirect | POVIntrovert,ACTIVE,-,37,92.16,0,0,-92.16,0,0,0,0,-100,0,0,0,5,5,-,120220498672330596
META | FES | ABO | ADV+ | Soul Sucking | Remote AI Developer,ACTIVE,-,11,49.60,0,0,-49.60,0,0,0,0,-100,0,0,0,1,1,-,120220001414280596
META | FES |  CBO | ADV+ | Soul Sucking,ACTIVE,-,4,6.73,0,0,-6.73,0,0,0,0,-100,0,0,0,1,0,-,120216654654360596
META | FES-B | ABO | ADV | Soul Sucking Variations,ACTIVE,-,12,38.25,0,0,-38.25,0,0,0,0,-100,0,0,0,4,0,-,120216085751410123
FES - B | META | ABO | ADV+ | Direct - Image | 1-1 Mentor – Copy,ACTIVE,-,0,5.24,0,0,-5.24,0,0,0,0,-100,0,0,0,0,0,-,120218037833230123
FES | TT | ABO | BROAD | Indirect | Soul Sucking 1,ACTIVE,-,23,19.96,0,0,-19.96,0,0,0,0,-100,0,0,0,5,5,-,1827179060775953
NEW - view content-  No targeting – Copy 2,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120211211994620045
META | FES | ABO | ADV+ | Jade | Honestly Camera Turn,ACTIVE,-,61,225.06,0,0,-225.06,0,0,0,0,-100,0,1,225.06,8,8,-,120220288294580596
META | FES | ABO | ADV+ | Imagine,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120216528455200596
USA - Men 27 - 40  LOL - All placement,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,23861203336660037
"Engaged shopers - advanced facebook targeting option – Feed, Story, real – Copy 3",OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120211940122560045
META | FES | ABO | ADV+ | Wish I Knew,PAUSED,-,36,220.28,0,0,-220.28,0,0,0,0,-100,0,0,0,6,2,-,120217237752700596
FES | YT | | COLD | JC | 9-5 Soul | 17/02,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,22259651461
USA - LAA 1% Big Spenders ? Scaling 3,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-,23861480593310037
META | FES-B | ABO | LAL1% | Jade | LF Norm Job – VAR2,ACTIVE,-,24,108.28,0,0,-108.28,0,0,0,0,-100,0,2,54.14,8,5,-,120218733374900123
META | FES | ABO | ADV+ | Jade | Being a nerd Comfy,PAUSED,-,45,208.61,0,0,-208.61,0,8114.02,-8114.02,0,-100,0,0,0,8,7,-,120219945660320596
META | FES-B | ABO | ADV+ | Soul Sucking Comfy Broll,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120217691125900123
FES | YT | COLD |  CI | GIT | SHORTS | 17/02,ACTIVE,-,273,352.13,0,0,-352.13,0,0,0,0,-100,0,4,88.03,72,61,-,22263539036
META | FES-B | ABO | ADV | Direct |  Not Knowing,PAUSED,-,65,387.24,0,0,-387.24,0,0,0,0,-100,0,1,387.24,5,2,-,120217419933810123
FES - B | META | ABO | ADV+ | Direct - Image | Inflation,ACTIVE,-,0,6.45,0,0,-6.45,0,0,0,0,-100,0,0,0,0,0,-,120218037945360123
META | FES | ABO | BROAD OR | NORM-JOB,PAUSED,-,5,21.64,0,0,-21.64,0,0,0,0,-100,0,0,0,3,2,-,120216055202940596
FES - B | META | ABO | ADV+ | Direct - Image | Guaranteed internship,ACTIVE,-,2,5.86,0,0,-5.86,0,0,0,0,-100,0,0,0,1,1,-,120218037898860123
META | FES-B | ABO | ADV | Quit Video Games,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120216186151950123
3% spent over 99 - advanced facebook targeting option – Copy,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,120207678814500045
USA - LAA 1% Big Spenders,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,23861234891220037
META | FES | ABO - Scale | LAL 1% | Soul Sucking,ACTIVE,-,36,169.86,0,0,-169.86,0,0,0,0,-100,0,1,169.86,5,3,-,120217113077040596
META | FES | ABO | ADV+ | Jade | Honestly,ACTIVE,-,184,475.58,0,0,-475.58,0,0,0,0,-100,0,0,0,32,26,-,120217646570820596
NEW - No targeting,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120210698910220045
META | FES | ABO - Scale | ADV+ | Soul Sucking,ACTIVE,-,62,305.41,0,0,-305.41,0,0,0,0,-100,0,1,305.41,12,8,-,120217023511860596
META | FES-B | ABO | ADV | Jade | LF Norm Job,ACTIVE,-,111,344.22,0,0,-344.22,0,1597.02,-1597.02,0,-100,0,1,344.22,12,9,-,120218339450710123
3% US spent over 99,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,120204962677150045
1% US spent over 99 ? Copy,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120205027711220045
No targeting - advanced facebook targeting option,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,120207981790270045
Adspend.com | COLD | CI | Front End Developer | US | 05/30,REMOVED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-,21345498460
"Udemy - advanced facebook targeting option – Feed, Story, real",OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-,120208169486440045
FES | TT | ABO | BROAD | Indirect | Soul Sucking,ACTIVE,-,16,20.71,0,0,-20.71,0,0,0,0,-100,0,0,0,4,4,-,1827074483816465
"Commuters - advanced facebook targeting option - Feed, story and reels",OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-,120208169465790045
META | FES | ABO - Scale | ADV+ | Soul Sucking | Variations,ACTIVE,-,177,352.60,0,0,-352.60,0,12737.87,-12737.87,0,-100,0,2,176.30,15,14,-,120217646060520596
META | FES | ABO | LAL 1% | POV$3k,ACTIVE,-,101,285.71,0,0,-285.71,0,0,0,0,-100,0,2,142.86,19,13,-,120216527976420596
META | FES | ABO | LAL1% | Jack | Norm Job,ACTIVE,-,12,53.62,0,0,-53.62,0,0,0,0,-100,0,0,0,1,1,-,120218141920320596
META | FES-B | ABO | ADV+ | Introverts Jade Comfy,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120217691489650123
META | FES | ABO | ADV+ | RegCon,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120216761661070596
META | FES-B | ABO | ADV | Introverts,ACTIVE,-,159,350.92,0,0,-350.92,0,0,0,0,-100,0,0,0,18,17,-,120216191622580123
LAA 1% US Big List,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,23854149377740108
META | FES-B | ABO - Scale | ADV | Introverts,PAUSED,-,41,67.24,0,0,-67.24,0,0,0,0,-100,0,0,0,3,3,-,120218339593620123
META | FES | ABO | ADV+ | RuinedMyLife,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120217069408930596
YT | COLD | CI | Front End Developer | US | 09/10,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,-,21795121808
FES | YT | COLD | CI | GIT | FEB ADS | 17/02,PAUSED,-,11,19.59,0,0,-19.59,0,0,0,0,-100,0,0,0,0,0,-,22267432525
Adspend.com | COLD | CI | Front End Developer | US | 06/09 | Scale,REMOVED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,21668614953
YT | AI | COLD | CI | AI Developer | US | 21/10,ACTIVE,-,14,24.28,0,0,-24.28,0,0,0,0,-100,0,0,0,3,2,-,21831473009
"Engaged shopers - advanced facebook targeting option – Feed, Story, real – Copy",OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120210557309140045
1% US Lead Pixel 90 Days,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,120204962685330045
META | FES | ABO | LAL 1% | RuinedMyLife,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,120217069591420596
YT | FE | COLD | EMPLOYED | TOP 50%,PAUSED,-,15,47.18,0,0,-47.18,0,0,0,0,-100,0,0,0,0,0,-,21904481189
"Engaged shopers - advanced facebook targeting option – Feed, Story, real – Copy 2",OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120211632755240045
META | FES | CBO | LAL 1% | Soul Sucking,ACTIVE,-,2,7.52,0,0,-7.52,0,0,0,0,-100,0,0,0,0,0,-,120216923012900596
META | FES-B | ABO | LAL1% | Jade | LF Norm Job,ACTIVE,-,157,547.63,0,0,-547.63,0,0,0,0,-100,0,4,136.91,38,30,-,120218339554940123
META | FES | ABO | ADV+ | POV$3k,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,-,120216528304980596
FES - B | META | ABO | ADV+ | Direct - Image | Class - Fastest Way,ACTIVE,-,0,5.01,0,0,-5.01,0,0,0,0,-100,0,0,0,0,0,-,120218341652800123
FES - B | META | ABO | ADV+ | Direct - Image | Jack Study4Months,ACTIVE,-,0,5.22,0,0,-5.22,0,0,0,0,-100,0,0,0,0,0,-,120218341509690123
META | FES | CBO | ADV+ | NORM-JOB,ACTIVE,-,1,9.14,0,0,-9.14,0,0,0,0,-100,0,0,0,0,0,-,120216654654350596
META | FES-B | ABO - Scale | ADV | Soul Sucking,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120217413017590123
YT | AI | COLD | CI | Front End Developer | US | 21/10,ACTIVE,-,111,112,0,0,-112,0,0,0,0,-100,0,0,0,4,1,-,21824980491
META | FES | ABO | LAL 1% | Wish I Knew,ACTIVE,-,23,85.76,0,0,-85.76,0,0,0,0,-100,0,0,0,5,3,-,120217237820100596
META | FES | ABO - Scale | ADV+ | Jade | Being a nerd Comfy,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120220048735190596
FES - B | META | ABO | ADV+ | Direct - Image | Torin Study4Months,ACTIVE,-,3,5.45,0,0,-5.45,0,0,0,0,-100,0,0,0,0,0,-,120218341558280123
META | FES | ABO - Scale | ADV+ | Jade | Being a nerd,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120219649986120596
META | FES-B | ABO | LAL1% | Jade | LF Norm Job – VAR1,ACTIVE,-,65,246.48,0,0,-246.48,0,0,0,0,-100,0,3,82.16,14,13,-,120218584418500123
FES - B | META | ABO | ADV+ | Direct - Image | Fastest Way,ACTIVE,-,2,5.07,0,0,-5.07,0,0,0,0,-100,0,0,0,0,0,-,120218036679680123
META | FES | ABO | LAL1% | Soul Sucking | Variations,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,120217836514820596
META | FES | ABO | ADV+ | Jade | Drained,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-,120218266186190596
No targeting CA 30 - 40 ? scaling 2,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,23858372093060108
META | FES | ABO | ADV+ | Soul Sucking | Variations,ACTIVE,-,17,46.09,0,0,-46.09,0,0,0,0,-100,0,2,23.05,6,3,-,120217355060740596
GG | FES | US | Generic | Jobs | Remote,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-,20858030140
META | FES | ABO | LAL 1% | NORM-JOB,ACTIVE,-,48,211.80,0,0,-211.80,0,0,0,0,-100,0,1,211.80,6,6,-,120215844156040596
META | FES | ABO | ADV+ | Soul Sucking,ACTIVE,-,68,354.13,0,0,-354.13,0,0,0,0,-100,0,0,0,16,8,-,120216401607200596
META | FES | ABO | LAL 1% | Soul Sucking,ACTIVE,-,49,218.65,0,0,-218.65,0,0,0,0,-100,0,0,0,8,8,-,120216401889640596
GG | FES | US | Generic | Tech Jobs,ACTIVE,-,8,26.44,0,0,-26.44,0,0,0,0,-100,0,0,0,3,0,-,21796607424
YT | COLD | CI | Beginner Coding | QB | US | 3/12,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,21979061039
META | FES |  CBO | LAL 1% | Soul Sucking,ACTIVE,-,0,1.26,0,0,-1.26,0,0,0,0,-100,0,0,0,0,0,-,120216654654340596
META | FES |ABO | ADV+ | NORM-JOB,ACTIVE,-,47,217.44,0,0,-217.44,0,0,0,0,-100,0,1,217.44,14,10,-,120215844156050596
META | FES | ABO | ADV+ | Jade | NormJob,ACTIVE,-,47,119.04,0,0,-119.04,0,0,0,0,-100,0,0,0,18,14,-,120218261334460596
Adspend.com | COLD | CI | Make Money Online | US | 05/30,REMOVED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,21360640450
YT | AI | WARM | Website Visitors | No Optin | 30d | US | 22/10,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,-,21839520709
FES - B | META | ABO | ADV+ | Direct - Image | Job or Refund,ACTIVE,-,0,5.42,0,0,-5.42,0,0,0,0,-100,0,0,0,0,0,-,120218037975180123
FES - B | META | ABO | ADV+ | Direct - Image | LTCEarn99k,ACTIVE,-,0,5.14,0,0,-5.14,0,0,0,0,-100,0,0,0,0,0,-,120218038074330123
FES - B | META | ABO | ADV+ | Direct - Image | Study4Months,ACTIVE,-,2,5.39,0,0,-5.39,0,0,0,0,-100,0,0,0,0,0,-,120218038135130123
Adspend.com | COLD | CI | Beginner Coding | US | 05/30,REMOVED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,21345498463
META | FES-B | ABO | LAL1% | Soul Sucking Variations,ACTIVE,-,5,28.42,0,0,-28.42,0,0,0,0,-100,0,1,28.42,2,1,-,120216264382920123
META | FES | CBO | ADV+ | POV-U-LEFT,ACTIVE,-,0,0.01,0,0,-0.01,0,0,0,0,-100,0,0,0,0,0,-,120216923183900596
META | FES | ABO | ADV+ | Imagine Dubai Broll,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120220288253680596
META | FES-B | ABO | LAL1% | Direct |  Not Knowing,PAUSED,-,24,90.52,0,0,-90.52,0,0,0,0,-100,0,1,90.52,3,3,-,120218733612570123
META | FES |ABO | ADV+ | Boring Job,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120217054129600596
META | FES | ABO | LAL 1% | RegCon,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,120216781641170596
Total,OTHER,-,3986,-,55695.54,55695.54,45267.87,55695.54,55949.51,-253.97,17,434.11,5.34,47,221.87,852,527,-,-
